#  Energy (ev)    SCAT NP      SCAT MG       ABS NP       ABS MG
  1.6669746151e-01  1.6683834901e-28  1.0689324516e-33  1.3027159185e-21  7.7579234202e-25 6.1145434095e+04  -9.2681485407e+02
  1.7097175539e-01  1.8465689413e-28  1.1836958474e-33  1.3678731780e-21  8.1664827920e-25 6.1236699766e+04  -9.3488277814e+02
  1.7524604928e-01  2.0386950037e-28  1.3075305121e-33  1.4344427245e-21  8.5859693156e-25 6.1330109099e+04  -9.4177194270e+02
  1.7952034316e-01  2.2454763732e-28  1.4409129485e-33  1.5024095290e-21  9.0164279935e-25 6.1425649711e+04  -9.4745454424e+02
  1.8379463705e-01  2.4676464418e-28  1.5843331943e-33  1.5717584943e-21  9.4579050884e-25 6.1523308932e+04  -9.5190290130e+02
  1.8806893093e-01  2.7059573943e-28  1.7382949581e-33  1.6424744707e-21  9.9104481342e-25 6.1623073800e+04  -9.5508945733e+02
  1.9234322482e-01  2.9611803090e-28  1.9033157580e-33  1.7145422728e-21  1.0374105948e-24 6.1724931070e+04  -9.5698678345e+02
  1.9661751870e-01  3.2341052633e-28  2.0799270654e-33  1.7879466947e-21  1.0848928639e-24 6.1828867207e+04  -9.5756758129e+02
  2.0089181259e-01  3.5255414434e-28  2.2686744523e-33  1.8626725262e-21  1.1334967626e-24 6.1934868395e+04  -9.5680468575e+02
  2.0516610647e-01  3.8363172590e-28  2.4701177429e-33  1.9387045679e-21  1.1832275641e-24 6.2042920533e+04  -9.5467106775e+02
  2.0944040036e-01  4.1672804625e-28  2.6848311693e-33  2.0160276462e-21  1.2340906749e-24 6.2153009238e+04  -9.5113983705e+02
  2.1371469424e-01  4.5192982731e-28  2.9134035316e-33  2.0946266284e-21  1.2860916357e-24 6.2265119847e+04  -9.4618424495e+02
  2.1798898813e-01  4.8932575062e-28  3.1564383623e-33  2.1744864373e-21  1.3392361229e-24 6.2379237416e+04  -9.3977768704e+02
  2.2226328201e-01  5.2900647068e-28  3.4145540952e-33  2.2555920653e-21  1.3935299494e-24 6.2495346725e+04  -9.3189370591e+02
  2.2653757590e-01  5.7106462892e-28  3.6883842386e-33  2.3379285882e-21  1.4489790666e-24 6.2613432278e+04  -9.2250599390e+02
  2.3081186978e-01  6.1559486810e-28  3.9785775529e-33  2.4214811791e-21  1.5055895656e-24 6.2733478300e+04  -9.1158839572e+02
  2.3508616367e-01  6.6269384727e-28  4.2857982336e-33  2.5062351214e-21  1.5633676782e-24 6.2855468748e+04  -8.9911491122e+02
  2.3936045755e-01  7.1246025727e-28  4.6107260976e-33  2.5921758217e-21  1.6223197789e-24 6.2979387302e+04  -8.8505969797e+02
  2.4363475144e-01  7.6499483675e-28  4.9540567758e-33  2.6792888225e-21  1.6824523860e-24 6.3105217375e+04  -8.6939707398e+02
  2.4790904532e-01  8.2040038875e-28  5.3165019093e-33  2.7675598141e-21  1.7437721632e-24 6.3232942109e+04  -8.5210152030e+02
  2.5218333921e-01  8.7878179784e-28  5.6987893514e-33  2.8569746465e-21  1.8062859213e-24 6.3362544379e+04  -8.3314768368e+02
  2.5645763309e-01  9.4024604782e-28  6.1016633740e-33  2.9475193406e-21  1.8700006194e-24 6.3494006794e+04  -8.1251037912e+02
  2.6073192698e-01  1.0049022400e-27  6.5258848793e-33  3.0391800995e-21  1.9349233668e-24 6.3627311699e+04  -7.9016459253e+02
  2.6500622086e-01  1.0728616120e-27  6.9722316167e-33  3.1319433185e-21  2.0010614246e-24 6.3762441175e+04  -7.6608548325e+02
  2.6928051475e-01  1.1442375572e-27  7.4414984050e-33  3.2257955959e-21  2.0684222073e-24 6.3899377046e+04  -7.4024838665e+02
  2.7355480863e-01  1.2191456449e-27  7.9344973598e-33  3.3207237424e-21  2.1370132844e-24 6.4038100871e+04  -7.1262881667e+02
  2.7782910251e-01  1.2977036408e-27  8.4520581265e-33  3.4167147903e-21  2.2068423824e-24 6.4178593957e+04  -6.8320246833e+02
  2.8210339640e-01  1.3800315281e-27  8.9950281188e-33  3.5137560031e-21  2.2779173863e-24 6.4320837351e+04  -6.5194522028e+02
  2.8637769028e-01  1.4662515297e-27  9.5642727628e-33  3.6118348833e-21  2.3502463417e-24 6.4464811849e+04  -6.1883313724e+02
  2.9065198417e-01  1.5564881305e-27  1.0160675746e-32  3.7109391811e-21  2.4238374562e-24 6.4610497992e+04  -5.8384247255e+02
  2.9492627805e-01  1.6508681003e-27  1.0785139276e-32  3.8110569016e-21  2.4986991018e-24 6.4757876073e+04  -5.4694967059e+02
  2.9920057194e-01  1.7495205178e-27  1.1438584337e-32  3.9121763130e-21  2.5748398166e-24 6.4906926135e+04  -5.0813136921e+02
  3.0347486582e-01  1.8525767948e-27  1.2121950963e-32  4.0142859526e-21  2.6522683065e-24 6.5057627974e+04  -4.6736440222e+02
  3.0774915971e-01  1.9601707015e-27  1.2836198507e-32  4.1173746339e-21  2.7309934477e-24 6.5209961143e+04  -4.2462580173e+02
  3.1202345359e-01  2.0724383915e-27  1.3582305926e-32  4.2214314531e-21  2.8110242883e-24 6.5363904949e+04  -3.7989280060e+02
